OBJECTID,Identificador unico del sector catastral,Tipo de sector catastral,Nombre del sector catastral,coord_x,coord_y
1281,205109,2,LA MAGDALENA I,"-74,15971638349998","4,6538848121528105"
1282,205227,2,OSORIO IX,"-74,171430826","4,655330582652857"
1284,105203,1,OSORIO II,"-74,166000932","4,654956388652853"
1285,201109,2,INGEMAR I,"-74,05440703649998","4,639504332652364"
1286,201110,2,INGEMAR ORIENTAL I,"-74,0505909105","4,644192807152489"
1287,201317,2,TIBAQUE III,"-74,0714674255","4,565078789649923"
1288,201408,2,LA PERSEVERANCIA I,"-74,06229751150002","4,616669126151601"
1289,001340,0,TIHUAQUE,"-74,08245901750001","4,501786597147835"
1290,002305,0,LIBERTADOR,"-74,11404031749998","4,585688420150582"
1291,004501,0,HIPOTECHO,"-74,13219142400001","4,627560609651946"
1292,002550,0,DUITAMA,"-74,114159717","4,52703171864869"
1293,002533,0,SOTAVENTO,"-74,13937551500001","4,543883427649218"
1294,004565,0,TOCAREMA,"-74,16354184349998","4,613045080651481"
1295,004516,0,BOITÁ,"-74,154286361","4,603548456651165"
1298,005616,0,LOS CEREZOS,"-74,098408159","4,7093146491546065"
1299,104129,1,EL MOCHUELO II,"-74,13974311850001","4,519289737148434"
1300,006534,0,EL TINTAL IV,"-74,143240658","4,656087968152862"
1302,006208,0,ORTEZAL,"-74,09678574","4,6316901776520805"
1303,004413,0,AUTOPISTA MUZÚ ORIENTAL,"-74,11814458950002","4,596889169650957"
1304,004540,0,CATALINA II,"-74,1707177635","4,6068506021512885"
1305,003110,0,LA CATEDRAL,"-74,07354280299998","4,599164674151039"
1306,002626,0,BOLONIA I,"-74,09843943549998","4,517328833148355"
1307,004205,0,PRIMAVERA OCCIDENTAL,"-74,109450245","4,615177339151563"
1308,002585,0,EL MOCHUELO URBANO,"-74,15286009899998","4,534084799148905"
1309,202511,2,PUERTA AL LLANO RURAL,"-74,10897064350002","4,490979180647509"
1310,102601,1,CENTRO USME RURAL,"-74,130813606","4,468183213146766"
1311,002577,0,DANUBIO II,"-74,11127176449997","4,538882024149064"
1312,004103,0,VOTO NACIONAL,"-74,08367797600002","4,603507673151164"
1313,002602,0,FISCALA ALTA,"-74,10197150900001","4,525721700148626"
1314,002599,0,CENTRO USME URBANO,"-74,1254159495","4,474310034146946"
1315,008306,0,PORCIÚNCULA,"-74,05736942349998","4,6595352206529945"
1316,002619,0,VILLA ANITA,"-74,11875055300001","4,4894364676474385"
1317,004630,0,PARCELA EL PORVENIR,"-74,18673646100001","4,640107697152354"
1319,002604,0,LOS OLIVARES,"-74,10573011999998","4,515234137648312"
1320,002642,0,EL PORTAL URBANO,"-74,10071914399998","4,494426643147613"
1321,002535,0,PALERMO SUR,"-74,1093717695","4,541943632149163"
1322,002302,0,SANTANDER SUR,"-74,1121760375","4,591423669150775"
1323,002104,0,RESTREPO OCCIDENTAL,"-74,10431704950003","4,589375283150721"
1324,002107,0,LA FRAGUA,"-74,10653917549999","4,595002397650888"
1325,004107,0,SANTA ISABEL SUR,"-74,10247848","4,597902399150978"
1326,002106,0,SENA,"-74,11021399999998","4,596481014650944"
1327,002103,0,RESTREPO,"-74,10046605650001","4,585621918150572"
1328,001316,0,MORALBA,"-74,07941375250002","4,543540824149204"
1329,002414,0,ISMAEL PERDOMO,"-74,16931902049998","4,5823624196504955"
1331,008220,0,SIBERIA CENTRAL,"-74,0586574575","4,633235816152135"
1332,004521,0,LA ESTACIÓN BOSA,"-74,18750299550001","4,599281603151035"
1333,008415,0,SANTA BARBARA CENTRAL,"-74,03804683300001","4,6994084426542795"
1334,002594,0,VILLA ISRAEL,"-74,11430831050001","4,4897819166474875"
1335,005660,0,SAN ANTONIO URBANO,"-74,1316908295","4,702449971654379"
1336,005505,0,BOSQUE POPULAR,"-74,0959065905","4,670166034153343"
1337,004545,0,CATALINA,"-74,168444069","4,609530795651369"
1338,002598,0,EL MOCHUELO II URBANO,"-74,13129522","4,523908797648564"
1339,102502,1,EL UVAL RURAL,"-74,09924056150001","4,4715099416468895"
1340,004524,0,SAN PABLO BOSA,"-74,19030858400001","4,604698748651204"
1341,001344,0,LOS SOCHES,"-74,088640196","4,499916243147797"
1342,002630,0,EL PORTAL DEL DIVINO,"-74,0981035065","4,486395057147364"
1343,001415,0,MARCO FIDEL SUAREZ I,"-74,1204719015","4,566289690149949"
1344,004553,0,ANDALUCÍA II,"-74,17898077250001","4,601142849151106"
1345,004622,0,BRASIL,"-74,18225211699999","4,631923963152083"
1346,006523,0,SAN PEDRO DE LOS ROBLES,"-74,1472162245","4,667022477153226"
1347,001350,0,YOMASA,"-74,09219830450002","4,522181119148531"
1350,001101,0,LAS BRISAS,"-74,081828438","4,58378880165052"
1351,104110,1,QUIBA BAJO,"-74,17114837049999","4,528186979148714"
1352,004641,0,LA INDEPENDENCIA,"-74,19590591250002","4,620719053151718"
1353,005655,0,GARCÉS NAVAS SUR,"-74,1235134355","4,713714099654737"
1354,005632,0,BOCHICA,"-74,10654588099999","4,711403970154706"
1355,002412,0,VERONA,"-74,15676469300001","4,577355904650313"
1356,002519,0,DANUBIO,"-74,11563414849999","4,539515193649105"
1358,004519,0,ESCOCIA,"-74,18501354099999","4,621783955651777"
1359,004507,0,CIUDAD KENNEDY SUR,"-74,15942662199998","4,619849739151686"
1360,001357,0,SANTA INÉS SUR II,"-74,08860270950001","4,561446477149804"
1361,002547,0,EL TESORO,"-74,148701158","4,53648341314897"
1362,004546,0,VILLA DEL RIO,"-74,1573689935","4,600671364651062"
1363,007406,0,SANTA SOFIA,"-74,06772339100002","4,670831091153359"
1364,005507,0,NORMANDÍA,"-74,10636695100001","4,668458049653258"
1365,005663,0,EL DORADO INDUSTRIAL,"-74,12687376949998","4,724189256655105"
1366,006415,0,LA LAGUNA FONTIBÓN,"-74,14923437850001","4,670858472653374"
1367,002456,0,QUIBA I,"-74,13998847049999","4,541316873149146"
1368,004560,0,SAUCEDAL,"-74,16199575600001","4,6351778351522075"
1369,001307,0,RAMAJAL,"-74,08184779850001","4,55954325964974"
1371,101302,1,MOLINO RURAL,"-74,06954295600002","4,569061542150063"
1372,007104,0,TEUSAQUILLO,"-74,072637512","4,622612608151787"
1373,001355,0,LAS GUACAMAYAS I,"-74,0959316215","4,554889330649588"
1374,004594,0,SAN ANTONIO,"-74,19759097849999","4,625412492651888"
1375,002561,0,CORDILLERA DEL SUR,"-74,1534750845","4,539903431149098"
1377,002501,0,SAN CARLOS,"-74,13171494","4,56626881164994"
1379,009249,0,VEREDA SUBA NARANJOS,"-74,0818952535","4,725327005655126"
1380,004207,0,GORGONZOLA,"-74,10334575300001","4,622987247151805"
1381,004570,0,ANTONIA SANTOS,"-74,18831681200001","4,610894541151401"
