llave-barrio,Fecha,coord_x,coord_y
ACACIAS-1,69,-74.033824033,4.723567090155069
ACACIAS-19,73,-74.14379720349999,4.562216556149833
ACACIAS-2,14,-74.0514804815,4.650253796652674
ACACIAS-8,1,-74.17819341225,4.650577871152698
ACEVEDO TEJADA-13,205,-74.0818509865,4.6303113126520445
AGUAS-3,383,-74.0648285485,4.602840699151164
ALAMEDA-19,14,-74.13897421300001,4.549448640649411
ALAMEDA-3,392,-74.07346924250001,4.611162739651422
ALAMOS-10,529,-74.115643537,4.6965750844875345
ALASKA-5,3,-74.11099514099999,4.52985882714877
ALCALA-16,87,-74.126436875,4.603005498151141
ALCAZARES-12,149,-74.06947755525,4.663831196403136
ALFONSO LOPEZ-13,130,-74.07346877200001,4.638641522152317
ALMENDROS-8,35,-74.17562486100002,4.646738592152568
ALMIRANTE COLON-11,22,-74.0871092045,4.715570749654804
ALPES-4,30,-74.08315334600002,4.554348968649563
ALQUERIA-16,148,-74.133516773,4.599622362151033
ALTAMIRA-4,43,-74.0862164955,4.541238902649139
ALTOS DE CHOZICA-11,62,-74.082995248,4.731386313155335
ALTOS DPOBLADO-4,11,-74.086988325,4.548816562149373
AMERICAS-13,108,-74.07869678650002,4.628686634652007
ANDALUCIA-7,50,-74.17898077250001,4.601142849151106
ANDES-11,66,-74.0680905595,4.692560804654068
ANDES-12,164,-74.071281545,4.685707435153827
ANDREA-5,48,-74.11285351500001,4.5129675681482135
ANGELES-10,66,-74.120133931,4.696616590154219
ANTIGUO COUNTRY-2,437,-74.0569665495,4.671665461653383
ANTONIA SANTOS-7,38,-74.18831681200001,4.610894541151401
ARABIA-19,12,-74.14796393900002,4.533814001148894
ARBORIZADORA ALTA-19,110,-74.16022010110001,4.566931061349985
ARBORIZADORA BAJA-19,50,-74.1474173695,4.573904939650214
ARGELIA-7,13,-74.18446147050003,4.613994265151515
ARMENIA-13,188,-74.07259491900001,4.618160892151639
ARRAYANES-18,7,-74.1075213115,4.542516064149164
ARRAYANES-5,1,-74.09323551325,4.518830729898403
ASUNCION-16,54,-74.10439702300002,4.602897839651153
ATAHUALPA-9,20,-74.14605956700001,4.688621103153913
ATENAS-4,35,-74.09286978899999,4.557188317649682
ATLANTA-19,14,-74.15247717649999,4.584713209150561
AURORA-12,19,-74.06739632450001,4.667002498153252
AURORA-5,98,-74.12093923750001,4.523461245148557
AUTOPISTA-16,72,-74.126399037,4.598644965151015
BACHUE-10,175,-74.101937429,4.716749583321514
BAQUERO-12,55,-74.0687974745,4.652537558652765
BARCELONA-16,29,-74.11502230400001,4.618056261151664
BARLOVENTO-19,45,-74.1667165815,4.5917300401508
BARRANCAS-1,193,-74.01448647750001,4.7346067361554285
BARRANQUILLITA-5,16,-74.11636794949999,4.523354397648545
BATALLON CALDAS-16,16,-74.10321918100001,4.6303505406520635
BATAN-11,170,-74.0630047805,4.7071130796545475
BAVARIA-8,90,-74.13879342299998,4.63877999265234
BELALCAZAR-13,269,-74.077430639,4.638999150652339
BELFLOR-19,12,-74.16081893499998,4.545268762149277
BELLAVISTA-10,90,-74.08935418749999,4.67645435265352
BELLAVISTA-19,14,-74.16090271250002,4.575281863650259
BELLAVISTA-4,10,-74.08851888250001,4.550669752149423
BELLEZA-4,11,-74.09313792949999,4.530847165648806
BELLO HORIZONTE-4,51,-74.09315499850001,4.5617363256497985
BELSUIZA-1,1110,-74.03069887250001,4.707378642154531
BENJAMIN HERRERA-12,62,-74.07623532149998,4.654071717652807
BETANIA-7,33,-74.17923505350001,4.627077935151926
BOCHICA-10,471,-74.1078743345,4.7135382809047695
BOCHICA-16,20,-74.107545311,4.605111676151231
BOITA-8,103,-74.154286361,4.603548456651165
BOLIVIA-10,156,-74.11677211133333,4.7147789889881215
BOLONIA-5,14,-74.09844222666665,4.512046569648191
BONANZA-10,248,-74.090323189,4.689581943153981
BOSA-7,984,-74.1913338947778,4.613278939040375
BOSQUE CALDERON-2,100,-74.0607387565,4.641354010652411
BOSQUE DE ALPES-4,3,-74.08356113550002,4.549567482149393
BOSQUE DE PINOS-1,29,-74.02527942,4.718626358654906
BOSQUE POPULAR-10,225,-74.0959065905,4.670166034153343
BOSQUE-5,7,-74.10150529450001,4.505572722647986
BOYACA-10,60,-74.09967817750001,4.6860638336538445
BRASIL-7,37,-74.18225211699999,4.631923963152083
BRASILIA-7,78,-74.182075158,4.628545329651999
BRAVO PAEZ-18,61,-74.12084497150002,4.585480873150603
BRISAS DLLANO-5,1,-74.10436662700002,4.486007872147359
BRISAS DVOLADOR-19,3,-74.1551151205,4.546711505149307
BRISAS-19,17,-74.16641354400002,4.57134597665012
BRISAS-4,19,-74.081828438,4.58378880165052
BUENOS AIRES-4,22,-74.081293474,4.578418613650374
CABRERA-2,381,-74.05019175999999,4.669098796653312
CALANDAIMA-8,32,-74.1671695005,4.6435190101524775
CALLEJA-1,360,-74.04818285299999,4.711555225654665
CAMELIA-16,56,-74.11840843124999,4.612406788901437
CAMPIN-13,107,-74.07766777325,4.648380681402623
CAMPO EUCARISTICO-13,96,-74.0945676305,4.658966026652969
CAMPO HERMOSO-8,16,-74.164776896,4.640432520652356
CAMPO VERDE-7,1,-74.210350299,4.624006099651817
CANODROMO-11,113,-74.05635100400002,4.7107156711546585
CAOBOS SALAZAR-1,51,-74.03666864500002,4.7292959836552715
CAPELLANIA-9,110,-74.121009369,4.660966265653018
CAPUCHINA-3,829,-74.07714646,4.604831884151204
CARACOLI-19,24,-74.17134089449999,4.573341773650162
CARMELO-8,28,-74.176652585,4.620070964151712
CARMEN DSOL-18,14,-74.11342459049999,4.563129585649862
CAROLINA-1,111,-74.0377162655,4.708495971654603
CASA DE TEJA-19,11,-74.1354631525,4.541496819149151
CASABLANCA-8,101,-74.1709911595,4.615909751151577
CASTELLANA-12,541,-74.0614309945,4.683273693653751
CASTILLA-8,65,-74.1435942235,4.639352036152333
CATALINA-8,38,-74.16958091625,4.608190698901328
CATEDRAL-3,62,-74.07354280299998,4.599164674151039
CECILIA-8,2,-74.175564936,4.60568474265123
CEDRITOS-1,696,-74.03509838050002,4.71930078965495
CEDRITOS-19,3,-74.14557686750001,4.540128401649102
CEDRO-1,117,-74.034649604,4.723910241530097
CEDRO-10,52,-74.13230010199999,4.712803793404715
CENTENARIO-18,101,-74.10790733249999,4.586191175650608
CENTRAL DE MEZCLAS-19,2,-74.131534413,4.547811330649352
CENTRO FONTIBON-9,443,-74.144169253,4.675583457153505
CENTRO-3,309,-74.0764953005,4.596590053650941
CEREZOS-10,122,-74.098408159,4.7093146491546065
CERROS DE ORIENTE-18,33,-74.10558807449999,4.555120883649588
CHAPINERITO-5,25,-74.10369964750001,4.504165191147932
CHAPINERO-13,90,-74.06684839349998,4.645404808652522
CHAPINERO-2,2661,-74.06235076499999,4.647499361152603
CHARCO-9,38,-74.16961735999999,4.696342756654193
CHARLES DE GAULLE-7,3,-74.20114324849999,4.606967998651267
CHICALA-7,73,-74.18070865800001,4.62473789615186
CHICO-1,134,-74.04504348699999,4.6868813271538965
CHICO-2,1665,-74.049529772125,4.678452515528608
CHICO-7,23,-74.1932393415,4.623711885651828
CIUDAD BERNA-15,59,-74.091290628,4.585131398150559
CIUDAD DE CALI-8,46,-74.17237919549999,4.640986150152395
CIUDAD HUNZA-11,20,-74.08707773949999,4.7211651786549975
CIUDAD JARDIN-11,117,-74.07087260349999,4.722125970155039
CIUDAD JARDIN-15,227,-74.096529148,4.580360866650416
CIUDAD KENNEDY-8,981,-74.15268100141667,4.623033554068464
CIUDAD SALITRE-13,589,-74.10228003325,4.644102189902507
CIUDADECOLSUBSIDIO-10,188,-74.11247684399999,4.727330548155225
CIUDADERECREO-7,82,-74.20133601675,4.633364170902138
CLARET-18,116,-74.12754431300002,4.583417542650519
CLASS-8,70,-74.17833979900001,4.6139513221515
CLUB DE LAGARTOS-11,39,-74.0868110495,4.707429350654559
COLOMBIA-12,77,-74.06642225850001,4.6597008136529965
COLON-16,44,-74.115941728,4.621580236651782
COLSEGUROS-14,20,-74.08518131949998,4.620905064651732
COMPARTIR-19,21,-74.14688287499999,4.556895174149626
COMUNEROS-16,109,-74.1023982705,4.607307089151283
COMUNEROS-5,26,-74.10941613649999,4.498145754647739
CONCORDIA-3,2,-74.0695824945,4.597533229650962
CONTADOR-1,199,-74.03543524324999,4.7166728846548525
CORABASTOS-8,127,-74.1593426105,4.63125638565207
CORDOBA-4,36,-74.09100152100001,4.564909850649933
CORTIJO-10,129,-74.1186987355,4.728090259155223
CORZO-7,70,-74.19152191175,4.639885778152349
CRUCES-3,229,-74.08031412349999,4.587408166650656
CUNDINAMARCA-16,50,-74.09041281399999,4.6218385326517595
CURUBO-5,4,-74.104622226,4.51097342864815
DANUBIO AZUL-7,8,-74.18225397999998,4.621437114151756
DANUBIO-5,12,-74.11345295649998,4.539198608899085
DELICIAS-8,206,-74.14510390550001,4.59916329215104
DIANA TURBAY-18,117,-74.10679067033334,4.545102378482603
DINDALITO-8,181,-74.17394941525001,4.638023089152293
DOCE DE OCTUBRE-12,216,-74.0736992745,4.669082036653293
DORADO-10,72,-74.13044544016665,4.72337239682174
DORADO-3,25,-74.0728348515,4.580219267150401
DOS AVENIDAS-8,158,-74.14371885749998,4.6338283836521565
EDUARDO FREY-15,63,-74.1160033955,4.592179906650805
EDUARDO SANTOS-14,135,-74.0899133335,4.594762170150877
EGIPTO-3,9,-74.06927374400001,4.5949907676508985
EJIDO-16,124,-74.100712365,4.621118224901733
EMAUS-2,64,-74.055011132,4.652767498652771
ENCANTO-10,79,-74.1053569565,4.678529832653618
ENGATIVA-10,457,-74.13414554900001,4.7139591970297605
ESCOCIA-7,62,-74.18626323599999,4.62362581865183
ESCUEMILITAR-12,65,-74.07049466500001,4.679623454653664
ESMERALDA-13,174,-74.09085043500002,4.647132093152601
ESPARTILLAL-2,154,-74.05577312,4.664142395653137
ESPERANZA-12,111,-74.0653737415,4.652984931152776
ESPERANZA-19,4,-74.1635177055,4.547067944149352
ESPERANZA-5,19,-74.1029742805,4.5026865318145495
ESPERANZA-9,209,-74.11421882875,4.658826291902974
ESTANCIA-19,110,-74.1762199305,4.5897092834007225
ESTANZUELA-14,113,-74.08725666000001,4.600902153151079
ESTORIL-11,195,-74.05859604400001,4.69202097515407
ESTRADA-10,187,-74.093504991,4.6783578951536136
ESTRADITA-10,46,-74.09263925900001,4.672617559153423
ESTRELDSUR-19,32,-74.14491489400001,4.544838585149266
ESTRELLA-13,79,-74.07691718250001,4.621422138151766
FAENA-10,15,-74.13482857100001,4.71625896865484
FATIMA-6,121,-74.1381290885,4.587273780150643
FAVORITA-14,294,-74.07848617799999,4.61043798715138
FERIAS-10,511,-74.08565820599999,4.68489202915383
FISCAALTA-5,12,-74.10197150900001,4.525721700148626
FISCALA-5,35,-74.111066238,4.532380204148842
FISCANORTE-5,1,-74.11232837649999,4.537232808149009
FLORENCIA-10,119,-74.10849520949998,4.700115011654314
FLORIDA BLANCA-10,129,-74.112541577,4.694578981154138
FLORIDA-14,30,-74.08018775349998,4.623694809151832
FONTIBON-9,396,-74.14415563688887,4.679220065875863
FRAGUA-15,79,-74.10653917549999,4.595002397650888
FRANCO-9,129,-74.12053493350001,4.650002120652662
GACO-10,12,-74.1406257365,4.723584270155081
GALAN-16,353,-74.12090210299999,4.618160320151659
GALERIAS-13,538,-74.07473148400001,4.642985878652472
GALICIA-19,40,-74.17123442900001,4.59135436465078
GARCES NAVAS-10,170,-74.12071314266666,4.712285815154701
GINEBRA-1,17,-74.0260607695,4.707903806904579
GIRALDA-9,46,-74.14125488799999,4.678859117653646
GIRARDOT-3,25,-74.074314058,4.586500409150608
GORGONZOLA-16,118,-74.10334575300001,4.622987247151805
GRAN AMERICA-13,146,-74.08402515750001,4.62734800365195
GRAN BRITALIA-8,175,-74.17406786975002,4.621467610651746
GRAN YOMASA-5,97,-74.1116546755,4.508275596648065
GRANADA-2,59,-74.055727921,4.649179295152642
GRANADA-4,52,-74.08970698500002,4.569562130650066
GRANADA-5,3,-74.122942016,4.518041438148392
GRANJA-10,181,-74.09805158950002,4.6988498621542725
GUACAMAYAS-4,20,-74.09733289575,4.554633037399578
GUADALUPE-19,8,-74.15539379650002,4.597512309650969
GUAVIO-3,19,-74.06989108099998,4.5890161531506894
GUIPARMA-18,10,-74.1189260155,4.560408594649756
HAYUELOS-9,408,-74.128850691,4.657527543152911
HIPOTECHO-8,541,-74.13103092483334,4.6242866838185135
HORTUA-15,20,-74.0877420285,4.5894585056507164
IBERIA-11,96,-74.06965569050001,4.727031799155191
INGEMAR-2,14,-74.05590388874998,4.639738911902365
INGLES-18,121,-74.1230499035,4.584391947150543
INTERINDUSTRIAL-9,19,-74.13063439750002,4.651567494152742
ISDSOL-6,89,-74.15116165750001,4.591112833650774
ISLANDIA-7,32,-74.194760116,4.616245137651575
JACQUELINE-8,20,-74.16245104000001,4.60867989765133
JARDIN-7,14,-74.208608956,4.614274645651511
JAZMIN-8,13,-74.17924282475,4.647871781652627
JERUSALEN-19,53,-74.15763825249999,4.57240714865015
JORGE ELIECER GAITAN-12,89,-74.0725057365,4.676228500653538
JORGE GAITAN CORTES-16,39,-74.11102595900002,4.6076369721512975
JOSE JOAQUIN VARGAS-12,140,-74.08556073599999,4.671947639153426
JUAN JOSE RONDON-5,2,-74.08656825900002,4.499123167147768
JUAN PABLO-19,46,-74.15005827050001,4.554462903649565
JUAN XXIII-12,61,-74.06366243650001,4.667418448653249
JUAN XXIII-2,3,-74.05422892349998,4.647003573152594
JULIO FLOREZ-11,140,-74.07566887799999,4.691071435154013
KASANDRA-9,5,-74.169487868,4.693019168654086
LACHES-3,42,-74.0680347725,4.5858357216506125
LAGO GAITAN-2,288,-74.058438911,4.666077817153207
LAUREL-10,74,-74.09646498800001,4.681021077653687
LAURELES-7,46,-74.20306898700002,4.614490772651532
LIBERTAD-12,14,-74.07765922549999,4.676582555653552
LIBERTAD-7,62,-74.19023779950001,4.628671413651989
LIBERTADOR-18,45,-74.11404031749998,4.585688420150582
LIBERTADORES-4,33,-74.088874282,4.532923328648874
LISBOA-1,138,-74.036083171,4.715491584154821
LISTON-14,107,-74.083366229,4.611288788151417
LLANO GRANDE-8,50,-74.1633332925,4.632686251652107
LOMAS-4,35,-74.10266486,4.562779516149822
LOURDES-3,21,-74.074035624,4.588535052650673
LUCERO-19,225,-74.14226748333333,4.552226983649507
LUSITANIA-8,109,-74.122227187,4.634836967152202
MACARENA-3,86,-74.06525579999999,4.614170338151526
